SOG,COG,Heading,LON,LAT,Cluster
0.0,0.0,0,-92.05266,29.43008,1
12.4,34.4,31,-89.28433,29.08416,1
11.0,132.6,134,-93.73499,29.54048,1
14.4,203.1,205,-83.07864,27.42835,0
14.4,202.7,205,-83.08056,27.42427,0
0.3,255.9,30,-96.17936,27.55007,1
0.0,0.0,0,-90.2116,29.1461,1
0.0,0.0,0,-88.96727,29.04342,1
15.2,303.3,304,-89.27079,28.61171,2
0.0,0.0,0,-88.77474,28.17415,1
14.1,175.1,174,-94.42408,28.37572,2
0.0,0.0,0,-95.28493,29.74644,1
0.2,195.5,191,-80.07548,26.1181,0
16.7,92.3,88,-88.89815,29.41828,1
12.4,60.1,74,-79.81782,26.1591,0
0.0,0.0,0,-96.91096,27.82062,1
8.6,120.9,118,-89.79404,28.62901,1
0.1,189.6,193,-80.07547,26.1181,0
0.0,0.0,0,-93.86951,29.7257,1
0.0,0.0,0,-91.09842,29.69113,1
13.2,63.9,64,-82.63302,27.63078,0
0.0,0.0,0,-80.25606,25.80403,0
10.9,134.7,134,-93.73203,29.53792,1
0.0,0.0,0,-90.08107,29.90113,1
13.1,228.8,229,-80.6821,24.59006,0
7.2,32.0,40,-93.76165,29.5506,1
12.4,27.3,27,-89.28203,29.08766,1
1.2,275.3,2,-94.37252,28.56857,1
12.3,268.2,268,-91.34136,27.95121,2
0.0,0.0,0,-95.31859,28.93884,1
16.7,147.7,145,-80.29152,28.08818,0
16.6,148.0,145,-80.28842,28.08395,0
0.0,0.0,0,-93.32449,29.79465,1
14.8,115.6,110,-85.99132,25.22627,0
8.6,121.6,118,-89.7913,28.62756,1
0.0,0.0,0,-94.57529,29.32582,1
1.0,321.8,0,-91.19582,27.93754,2
0.0,0.0,0,-95.27639,29.7335,1
7.2,34.0,41,-93.76012,29.55253,1
0.0,0.0,0,-90.20322,29.13943,1
13.1,228.6,229,-80.68559,24.58726,0
0.0,0.0,0,-90.21425,29.14206,1
10.7,267.0,265,-94.72492,29.34581,2
0.0,0.0,0,-82.44266,27.91861,0
0.0,0.0,0,-94.59985,29.31915,1
0.3,251.3,30,-96.17946,27.55005,1
14.7,297.5,297,-84.58815,27.88329,2
